"doc_id","title","cite","keywords"
"Paper_1007","EXPLORATORY_design FOR COMPUTATIONAL EXPERIMENTS","658","['BAYESIAN PREDICTION', 'COMPUTER EXPERIMENT', 'COMPUTER MODEL', 'INTERPOLATION', 'LATIN HYPERCUBE DESIGN', 'MAXIMIN DESIGN', 'RANDOM FUNCTIONS']"
"Paper_1056","AN ISOTONIC REGRESSION ALGORITHM","16","[]"
"Paper_1174","Pre_test_ESTIMATION and_design in the linear model","15","['linear model', 'model deviation', 'pre-test estimation function', 'experimental design', 'polynomial regression']"
"Paper_1249","ON EXTREME_VALUE ASYMPTOTICS FOR INCREMENTS OF RENEWAL_process","12","['EXTREME VALUE ASYMPTOTICS', 'INCREMENTS OF RENEWAL PROCESSES', 'STRONG APPROXIMATIONS', 'INVARIANCE PRINCIPLES', 'GUMBEL TYPE LIMITING DISTRIBUTIONS', 'WEIGHTED EMBEDDINGS', 'PONTOGRAMS']"
"Paper_1294","empirical_best linear unbiased_and empirical_Bayes prediction in multivariate small_area_ESTIMATION","17","['maximum likelihood', 'multivariate mixed linear model', 'nested error regression', 'residual maximum likelihood']"
"Paper_1314","estimation THE EDGE OF A POISSON_PROCESS BY ORTHOGONAL SERIES","18","['POISSON PROCESS', 'PATTERN RECOGNITION', 'ORTHOGONAL FUNCTIONS']"
"Paper_1322","INCORPORATING MEASUREMENT_error IN THE_ESTIMATION OF AUTOREGRESSIVE_model for LONGITUDINAL DATA","12","['MAXIMUM LIKELIHOOD', 'PULMONARY FUNCTION', 'REGRESSION METHODS', 'TIME SERIES']"
"Paper_1457","The epsilon_skew_normal_distribution for analyzing near_normal data","159","['Bayesian analysis', 'binormal', 'maximum likelihood estimation', 'mode', 'skew-normal distribution', 'two-piece normal']"
"Paper_1554","rate_of convergence to normal_distribution for the Horvitz_Thompson_ESTIMATOR","37","['unequal probability sampling without replacement', 'inclusion probabilities', 'Horvitz-Thompson estimator', 'maximum entropy', 'rejective sampling', 'Rao-Sampford sampling', 'successive sampling']"
"Paper_1658","Stochastic comparisons of parallel_system of heterogeneous exponential_components","119","['likelihood ratio ordering', 'hazard rate ordering', 'reversed hazard rate ordering', 'multivariate likelihood ratio ordering', 'dispersive ordering', 'Schur functions', 'majorization']"
"Paper_1966","MODEL robust CONFIDENCE_INTERVALS","4","[]"
"Paper_1972","Improving predictive inference under covariate shift by weighting the log_likelihood function","598","['Akaike information criterion', 'design of experiments', 'importance sampling', 'Kullback-Leibler divergence', 'misspecification', 'sample surveys', 'weighted least squares']"
"Paper_2151","On blocks and runs_ESTIMATOR of the extremal index","31","['consistency and asymptotic normality', 'mixing conditions', 'stationary sequences']"
"Paper_2189","FORMAL MODES OF statistical_inference FOR CAUSAL_effectS","230","[]"
"Paper_2218","NONPARAMETRIC statistical_PROCEDURES FOR THE CHANGEPOINT PROBLEM","62","[]"
"Paper_2264","A REVIEW OF SEMIPARAMETRIC MIXTURE_MODELS","45","[]"
"Paper_2265","BANDWIDTH_selection FOR KERNEL_distribution FUNCTION_ESTIMATION","130","['DISTRIBUTION FUNCTION', 'NONPARAMETRIC ESTIMATION', 'SMOOTHING PARAMETER SELECTION', 'CROSS-VALIDATION', 'LEAVE-ONE-OUT ESTIMATOR']"
"Paper_2301","NUMERICAL_ESTIMATION OF A PROBABILITY MEASURE","37","[]"
"Paper_2327","The_effect of long_range dependence on change_point_ESTIMATOR","55","['change-point estimation', 'long-range dependence', 'fractional Brownian motion']"
"Paper_2342","JEFFREYS PRIOR IS ASYMPTOTICALLY LEAST FAVORABLE UNDER ENTROPY RISK","171","['BAYES RISK', 'MINIMAX RISK', 'KULLBACK-LEIBLER INFORMATION', 'JEFFREYS PRIOR', 'FISHER INFORMATION', 'SHANNONS MUTUAL INFORMATION', 'PARAMETRIC DENSITY ESTIMATION', 'DATA COMPRESSION', 'REFERENCE PRIORS, LEAST FAVORABLE PRIORS']"
"Paper_2381","rate_OF strong_UNIFORM_CONVERGENCE OF K_NN DENSITY ESTIMATES","10","[]"
"Paper_2395","Nonparametric method for doubly_truncated data","110","['bootstrap', 'hypothesis test', 'luminosity evolution', 'Lynden-Bell estimator', 'Markov chain Monte Carlo', 'quasars', 'self-consistency', 'Tau test']"
"Paper_2397","Orthogonal column Latin hypercubes and their application in computer_experiments","262","['computer model', 'linear regression', 'optimal design', 'response surface design']"
"Paper_2421","SIMULATION_EXTRAPOLATION_ESTIMATION IN PARAMETRIC MEASUREMENT_error model","435","['CORRECTION FOR ATTENUATION', 'EXTRAPOLATION', 'FRAMINGHAM HEART STUDY', 'LOGISTIC REGRESSION', 'MEASUREMENT ERROR MODEL', 'METHOD OF MOMENTS', 'NONLINEAR MODEL', 'SIMULATION']"
"Paper_2425","DESIGN_adaptive_NONPARAMETRIC REGRESSION","730","['BOUNDARY EFFECTS', 'KERNEL ESTIMATOR', 'LINEAR SMOOTHER', 'LOCAL LINEAR REGRESSION', 'MINIMAX EFFICIENCY']"
"Paper_2429","ON BAYESIAN_ANALYSIS OF Generalized_LINEAR_modelUSING JEFFREYS PRIOR","100","['BINOMIAL REGRESSION', 'GAMMA-REGRESSION', 'LOGISTIC REGRESSION', 'POISSON REGRESSION', 'PROPER POSTERIOR DISTRIBUTION']"
"Paper_2449","Generalized_ADDITIVE_model_ SOME APPLICATIONS","344","[]"
"Paper_2464","BOOTSTRAP PREDICTION interval FOR REGRESSION","106","[]"
"Paper_2479","DIMENSION_REDUCTION in binary response regression","104","['dimension-reduction subspace', 'linear combinations of chi-squared variables', 'regression graphics', 'sliced inverse regression', 'principal Hessian direction', 'sliced average variance estimation']"
"Paper_2480","Proportional hazard regression with missing covariates","128","['EM algorithm', 'missing data', 'nonparametric maximum likelihood', 'proportional hazards model']"
"Paper_2491","Bootstrap approximations in model checks for regression","186","['goodness of fit', 'marked empirical process', 'residuals', 'wild bootstrap']"
"Paper_2494","Minimum Hellinger distance_ESTIMATION for finite mixture model","55","['contamination', 'density estimate', 'efficiency', 'EM algorithm', 'influence', 'robustness']"
"Paper_2497","Control charts for multivariate_process","163","['control charts', 'Q chart', 'quality control', 'r chart', 'S chart', 'statistical process control']"
"Paper_2502","PROSPECTIVE ANALYSIS OF LOGISTIC CASE_CONTROL STUDIES","55","['ASYMPTOTICS', 'CORRECTIONS FOR ATTENUATION', 'DIFFERENTIAL MEASUREMENT ERROR', 'ESTIMATING EQUATIONS', 'MEASUREMENT ERROR', 'MISSING DATA', 'ROBUST ESTIMATES']"
"Paper_2510","NONLINEAR ADDITIVE ARX model","109","['ADDITIVITY', 'ALTERNATING CONDITIONAL EXPECTATION (ACE) ALGORITHM', 'BEST SUBSET REGRESSION', 'BRUTO ALGORITHM', 'RIVER FLOW', 'TIME SERIES', 'VARIABLE SELECTION']"
"Paper_2511","A QUALITY INDEX BASED ON DATA DEPTH AND MULTIVARIATE RANK_TESTS","198","['DATA DEPTH', 'MULTIVARIATE RANK TESTS', 'QUALITY ASSURANCE', 'QUALITY INDEX']"
"Paper_2521","DENSITY_ESTIMATION WITH confidence_SETS EXEMPLIFIED BY SUPERCLUSTERS AND VOIDS IN THE GALAXIES","146","[]"
"Paper_2533","local_LIKELIHOOD_ESTIMATION","308","[]"
"Paper_2544","ON OBTAINING PERMUTATION_distribution IN POLYNOMIAL_TIME","74","[]"
"Paper_2555","A weighted estimation equation for missing covariate data with properties similar to maximum_likelihood","86","['generalized linear model', 'missing at random', 'missing completely at random', 'missing-data mechanism']"
"Paper_2556","A new_Bayesian model for survival_data with a surviving fraction","301","['cure rate model', 'Gibbs sampling', 'historical data', 'latent variables', 'posterior distribution', 'Weibull distribution']"
"Paper_2557","Bayesian CART model search","371","['binary trees', 'Markov chain Monte Carlo', 'mixture models', 'model selection', 'model uncertainty', 'stochastic search']"
"Paper_2564","maximum_likelihood_ESTIMATION in the proportional_odds model","201","['profile likelihood', 'semiparametric model', 'survival analysis']"
"Paper_2574","PROBLEMS WITH INSTRUMENTAL variable_ESTIMATION WHEN THE CORRELATION BETWEEN THE INSTRUMENTS AND THE ENDOGENOUS EXPLANATORY VARIABLE IS WEAK","1885","['COMPULSORY ATTENDANCE', 'FINITE-SAMPLE BIAS', 'INCONSISTENCY', 'WEAK INSTRUMENT']"
"Paper_2576","FLEXIBLE DISCRIMINANT_ANALYSIS BY optimal_SCORING","432","['CLASSIFICATION', 'DISCRIMINANT ANALYSIS', 'NONPARAMETRIC REGRESSION', 'MARS']"
"Paper_2580","ALTERNATIVES TO THE MEDIAN ABSOLUTE DEVIATION","1176","['BIAS CURVE', 'BREAKDOWN POINT', 'INFLUENCE FUNCTION', 'ROBUSTNESS', 'SCALE ESTIMATION']"
"Paper_2582","ON TESTING THE VALIDITY OF SEQUENTIAL PROBABILITY FORECASTS","46","['CALIBRATION', 'MARTINGALE CENTRAL LIMIT THEOREM', 'SCORING RULES']"
"Paper_2595","A monte_carlo IMPLEMENTATION OF THE EM ALGORITHM AND THE POOR MANS DATA AUGMENTATION ALGORITHMS","809","[]"
"Paper_2599","INFERENCE BASED ON RETROSPECTIVE ASCERTAINMENT AN ANALYSIS OF THE DATA ON TRANSFUSION_RELATED AIDS","217","[]"
"Paper_2602","RESAMPLING INFERENCE WITH COMPLEX SURVEY DATA","259","[]"
"Paper_2609","MULTIVARIATE 2_SAMPLE test BASED ON NEAREST NEIGHBORS","128","[]"
"Paper_2643","Adjusting for nonignorable drop_out using semiparametric nonresponse model","597","['augmented inverse probability of censoring weighted estimators', 'Cox proportional_hazards model', 'identification', 'missing data', 'noncompliance', 'nonparametric methods', 'randomized trials', 'sensitivity analysis', 'time-dependent covariates']"
"Paper_2654","Bayesian model averaging for linear regression model","994","['Bayes factor', 'Markov chain Monte Carlo model composition', 'model uncertainty', ""Occam's window"", 'posterior model probability']"
"Paper_2660","Searching for structure in_curve sample","81","['curves', 'density estimation', 'extrema', 'feature extraction', 'regression']"
"Paper_2663","Bayesian_inference FOR STABLE_DISTRIBUTIONS","88","['GIBBS SAMPLING', 'METROPOLIS SAMPLING', 'REJECTION SAMPLING']"
"Paper_2678","A BAYESIAN_ANALYSIS FOR CHANGE POINT PROBLEMS","375","['CHANGE POINTS', 'PRODUCT PARTITION MODELS']"
"Paper_2701","STATISTICS AND CAUSAL INFERENCE","2384","[]"
"Paper_2703","MODIFIED SEQUENTIALLY REJECTIVE MULTIPLE TEST PROCEDURES","515","[]"
"Paper_2723","AN exponential_FAMILY OF PROBABILITY_Distribution FOR DIRECTED_GRAPHS","614","[]"
"Paper_2729","Quasi_likelihood regression with unknown link and variance functions","47","['asymptotic efficiency', 'curve estimation', 'dose-response analysis', 'estimating equation', 'generalized linear model', 'iterated weighted least squares', 'local polynomial fitting', 'multiple regression', 'semiparametric modeling', 'smoothing']"
"Paper_2738","Bootstrap confidence_regions for the intensity of a Poisson point_process","67","['confidence band', 'inhomogeneous Poisson process', 'intensity function', 'kernel estimation']"
"Paper_2743","survival_ANALYSIS WITH MEDIAN REGRESSION_MODELS","218","['ACCELERATED FAILURE TIME MODEL', 'CENSORED DATA', 'ESTIMATING FUNCTION', 'LEAST ABSOLUTE DEVIATIONS', 'QUANTILE REGRESSION']"
"Paper_2749","Generalized_RAKING PROCEDURES IN SURVEY SAMPLING","247","['CALIBRATION', 'CONDITIONAL INFERENCE', 'FREQUENCY TABLE', 'MULTIVARIATE AUXILIARY INFORMATION', 'REGRESSION ESTIMATORS']"
"Paper_2756","ANALYSIS OF variance FOR REPLICATED SPATIAL POINT PATTERNS IN CLINICAL NEUROANATOMY","98","['BOOTSTRAP HYPOTHESIS TESTING', 'CINGULATE CORTEX', 'EXTRA-POISSON VARIATION', 'INHIBITION PROCESS', 'K-FUNCTION', 'POISSON PROCESS', 'PYRAMIDAL NEURONS', 'SCHIZOPHRENIA']"
"Paper_2761","regression_analysis OF MULTIVARIATE INCOMPLETE FAILURE TIME_DATA BY model ING MARGINAL_distribution","1379","[]"
"Paper_2767","BAYESIAN confidence_interval FOR SMOOTHING SPLINES","153","[]"
"Paper_2796","THE WELL_CALIBRATED BAYESIAN","240","[]"
"Paper_2804","Causal inference without counterfactuals","226","['average causal effect', 'causes of effects', 'causation', 'determinism', 'effects of causes', 'metaphysical model', 'potential response', 'treatment-unit additivity']"
"Paper_2809","A unified_approach to likelihood inference on stochastic orderings in a nonparametric context","77","['chi-bar-squared distribution', 'likelihood inference', 'likelihood ratio ordering', 'order-restricted inference', 'stochastic ordering', 'uniform ordering']"
"Paper_2810","Locally efficient_ESTIMATION with current status data and time_dependent covariates","34","['asymptotically efficient', 'asymptotically linear estimator', 'Cox proportional_hazards model', 'current status data', 'influence curve']"
"Paper_2812","An approach to multivariate rank test in multivariate analysis of variance","45","['Jonckheere-Terpstra test', 'Kruskal-Wallis test', 'Mann-Whitney Wilcoxon test', 'median test', 'orthogonal contrasts', 'Pitman efficiency']"
"Paper_2826","ON THE INTERPRETATION OF REGRESSION PLOTS","157","['ADDED-VARIABLE PLOTS', 'ELLIPTICALLY CONTOURED DISTRIBUTIONS', 'NONLINEAR MODELS', 'REGRESSION GRAPHICS', 'RESIDUAL PLOTS']"
"Paper_2847","A_distribution_FREE MULTIVARIATE SIGN TEST BASED ON INTERDIRECTIONS","91","[]"
"Paper_2856","ESTIMATION AND TESTING IN A 2_SAMPLE Generalized_ODDS_rate_MODEL","126","[]"
"Paper_2860","THE LOGISTIC normal_distribution FOR BAYESIAN, NONPARAMETRIC, PREDICTIVE DENSITIES","56","[]"
"Paper_2886","ASSOCIATION model and CANONICAL CORRELATION IN THE ANALYSIS OF CROSS_CLASSIFICATIONS HAVING ORDERED CATEGORIES","160","[]"
"Paper_2893","Goodness_of_fit and related inference_process for quantile regression","700","['Bessel process', 'goodness of fit', 'quantile regression', 'rank test', 'regression rankscores']"
"Paper_2898","Monotone B_spline smoothing","86","['B-spline', 'constraints', 'information criterion', 'least absolute deviation', 'linear programming', 'median', 'monotone smoothing', 'quantiles']"
"Paper_2902","Modeling flat stretches, bursts, and outliers in time_series using mixture transition_distribution model","91","['autocorrelation', 'autoregressive integrated moving average model', 'EM algorithm', 'mixture transition distribution', 'non-Gaussian time series', 'stationarity']"
"Paper_2904","Bayesian inference in mixtures_of_experts and hierarchical mixtures_of_experts model with an application to speech recognition","80","[]"
"Paper_2906","Nonparametric importance sampling","77","['adaptive importance sampling', 'integral evaluation', 'Kernel density estimation', 'Monte Carlo simulation', 'variance reduction']"
"Paper_2909","local_adaptive_importance sampling for multivariate densities with strong_nonlinear relationships","54","['Bayesian statistics', 'density estimation', 'integral evaluation', 'Kernel method', 'Monte Carlo simulation', 'nonparametric method']"
"Paper_2922","SEQUENTIAL IMPUTATIONS AND BAYESIAN missing_data PROBLEMS","612","['BAYESIAN INFERENCE', 'IMPORTANCE SAMPLING', 'MISSING DATA', 'PREDICTIVE DISTRIBUTION', 'SEQUENTIAL IMPUTATION']"
"Paper_2940","ADVANCES IN RECORD_LINKAGE METHODOLOGY AS APPLIED TO MATCHING THE 1985 CENSUS OF TAMPA, FLORIDA","558","[]"
"Paper_2960","BAYESIAN_ESTIMATION AND PREDICTION USING ASYMMETRIC LOSS FUNCTIONS","518","[]"
"Paper_2972","estimation THE_error rate_OF A PREDICTION RULE IMPROVEMENT ON cross_validation","1514","[]"
"Paper_2994","Nonparametric method for factorial_design with censored data","15","['Kaplan-Meier estimator', 'martingales for counting processes', 'nonparametric hypotheses', 'rank test', 'ties', 'unbalanced factorial designs']"
"Paper_3002","A new_perspective on priors for generalized_linear_models","171","['conditional means priors', 'data augmentation priors', 'exponential regression', 'gamma regression', 'linear models', 'log-linear models', 'logistic regression', 'Poisson regression']"
"Paper_3011","SIGN test IN MULTIDIMENSION_ INFERENCE BASED ON THE GEOMETRY OF THE DATA CLOUD","36","['AFFINE INVARIANCE', 'BERAN FAMILY OF TESTS', 'DATA-DRIVEN COORDINATES', 'DEGENERATE U-STATISTICS', 'DISTRIBUTION-FREE TESTS', 'ELLIPTICALLY SYMMETRICAL DISTRIBUTIONS']"
"Paper_3013","SOME GRAPHICAL DISPLAYS AND MARGINAL REGRESSION_ANALYSES FOR RECURRENT FAILURE TIMES AND TIME_DEPENDENT COVARIATES","224","['ESTIMATING EQUATION', 'HAZARD FUNCTION', 'INTENSITY FUNCTION', 'MARGINAL HAZARD', 'MARKOV MODEL']"
"Paper_3019","USING EM TO OBTAIN ASYMPTOTIC variance covariance_matrices THE SEM ALGORITHM","373","['BAYESIAN INFERENCE', 'CONVERGENCE RATE', 'EM ALGORITHM', 'INCOMPLETE DATA', 'MAXIMUM LIKELIHOOD ESTIMATION', 'OBSERVED INFORMATION', 'PARALLEL PROCESSORS']"
"Paper_3064","A proportional_hazard model for the subdistribution of a competing risk","8265","['hazard of subdistribution', 'martingale', 'partial likelihood', 'transformation model']"
"Paper_3071","Bayesian prediction of transformed Gaussian random_Field","128","['Box-Cox family', 'cross-validation', 'family of transformations', 'kriging', 'Monte Carlo integration', 'rainfall', 'spatial prediction']"
"Paper_3087","Quantiles in nonrandom_sample and observational studies","39","['contingency tables', ""Holley's inequality"", 'nonrandomized studies', 'order statistics', ""Savage's rank order lattice"", 'sensitivity analysis']"
"Paper_3094","estimation NORMAL MEANS WITH A DIRICHLET_process PRIOR","340","['EMPIRICAL BAYES', 'GIBBS SAMPLER', 'IMPORTANCE SAMPLING', 'MIXTURES OF DIRICHLET PROCESSES', 'NONPARAMETRIC BAYES']"
"Paper_3095","BAYESIAN_ANALYSIS OF BINARY AND POLYCHOTOMOUS RESPONSE DATA","1730","['BINARY PROBIT', 'DATA AUGMENTATION', 'GIBBS SAMPLING', 'HIERARCHICAL BAYES MODELING', 'LATENT DATA', 'LOGIT MODEL', 'MULTINOMIAL PROBIT', 'RESIDUAL ANALYSIS', 'STUDENT-T LINK FUNCTION']"
"Paper_3143","SiZer for exploration of structures in_curves","408","['confidence bands', 'curve estimation', 'kernel estimates', 'local polynomials', 'nonparametric smoothing', 'scale space', 'significant features', 'SiZer map']"
"Paper_3153","Modeling repeated measures with monotonic ordinal responses and misclassification, with applications to studying maturation","31","['diagnostic error', 'EM algorithm', 'longitudinal data', 'Markov chains', 'Markov mixture models']"
"Paper_3162","Instrumental variable_ESTIMATION in Generalized_linear measurement_error model","36","['estimating equations', 'functional model', 'logistic regression', 'structural model']"
"Paper_3193","SLICED INVERSE REGRESSION FOR dimension_REDUCTION","1267","['DYNAMIC GRAPHICS', 'PRINCIPAL COMPONENT ANALYSIS', 'PROJECTION PURSUIT']"
"Paper_3200","INFERENCE FROM COARSE DATA VIA MULTIPLE IMPUTATION WITH APPLICATION TO AGE HEAPING","99","[]"
"Paper_3204","OPTIMAL MATCHING FOR OBSERVATIONAL STUDIES","382","[]"
"Paper_3210","EQUIVALENCE OF SMOOTHING PARAMETER SELECTORS IN DENSITY AND INTENSITY_ESTIMATION","67","[]"
"Paper_3212","STATISTICAL_modelFOR EARTHQUAKE OCCURRENCES AND RESIDUAL ANALYSIS FOR POINT_PROCESS","1223","[]"
"Paper_3214","K_SAMPLE ANDERSON_DARLING TESTS","421","[]"
"Paper_3226","THE SIGNAL EXTRACTION APPROACH TO NON_LINEAR REGRESSION AND SPLINE SMOOTHING","158","[]"
"Paper_3241","Nonparametric_ESTIMATION of a recurrent survival_function","125","['correlated survival data', 'frailty', 'Kaplan-Meier estimate', 'longitudinal designs', 'recurrent event']"
"Paper_3254","REGRESSION_modelFOR A BIVARIATE DISCRETE AND continuous_OUTCOME WITH CLUSTERING","119","['BINARY RESPONSE', 'CLUSTERED DATA', 'DEVELOPMENTAL TOXICITY STUDIES', 'GENERALIZED ESTIMATING EQUATIONS', 'QUASI-LIKELIHOOD']"
"Paper_3255","COMPARISON OF REGRESSION_CURVES USING QUASI_RESIDUALS","68","['DESIGN VARIABLES', 'KERNEL ESTIMATOR', 'NONPARAMETRIC TEST']"
"Paper_3268","CALIBRATION_ESTIMATOR IN SURVEY SAMPLING","744","['CALIBRATION', 'MULTIVARIATE AUXILIARY INFORMATION', 'RAKING', 'REGRESSION ESTIMATORS']"
"Paper_3271","AN ALGORITHM FOR COMPUTING THE NONPARAMETRIC MLE OF A MIXING_distribution","81","['INTRA-SIMPLEX DIRECTION METHOD', 'MAXIMUM LIKELIHOOD ESTIMATION', 'MIXTURE MODELS', 'PROFILE LIKELIHOOD', 'VERTEX DIRECTION METHOD', 'VERTEX EXCHANGE METHOD']"
"Paper_3283","STOCHASTIC BLOCKmodelFOR DIRECTED_GRAPHS","235","[]"
"Paper_3289","THE ANALYSIS OF PANEL DATA UNDER A MARKOV ASSUMPTION","414","[]"
"Paper_3307","Efficient_ESTIMATION and inferences for varying_coefficient model","326","['asymptotic normality', 'bootstrap', 'generalized linear models', 'goodness-of-fit', 'local polynomial fitting', 'one-step procedure']"
"Paper_3313","Classes of nonseparable, spatio_temporal stationary covariance functions","387","[""Bochner's theorem"", 'matern covariance', 'positive definite', 'simple kriging']"
"Paper_3318","Semiparametric regression for repeated outcomes with nonignorable nonresponse","284","['curse of dimensionality', 'estimating equations', 'identification', 'missing data', 'semiparametric efficiency', 'sensitivity analysis']"
"Paper_3333","INFERENCE FOR LIKELIHOOD RATIO ORDERING IN THE 2_SAMPLE PROBLEM","54","['CHI-BAR SQUARE DISTRIBUTION', 'HAZARD RATE ORDERING', 'ISOTONIC REGRESSION', 'MULTINOMIAL DISTRIBUTION', 'STOCHASTIC ORDERING', 'STRONG CONSISTENCY', 'UNIFORM STOCHASTIC ORDERING']"
"Paper_3334","ANNEALING MARKOV_CHAIN monte_carlo WITH APPLICATIONS TO ANCESTRAL INFERENCE","604","['CYSTIC FIBROSIS', 'GIBBS SAMPLER', 'METROPOLIS ALGORITHM', 'PEDIGREE ANALYSIS', 'SIMULATED TEMPERING', 'STOCHASTIC APPROXIMATION']"
"Paper_3335","MODELING THE DROP_OUT MECHANISM IN REPEATED_MEASURES STUDIES","1025","['ATTRITION', 'LONGITUDINAL DATA', 'MISSING DATA', 'NONRANDOM NONRESPONSE', 'SELECTION BIAS']"
"Paper_3350","PROCEDURES FOR THE IDENTIFICATION OF MULTIPLE OUTLIERS IN LINEAR_MODELS","232","['ADJUSTED RESIDUALS', 'BACKWARD-STEPPING', 'CLUSTERING', 'HIGH BREAKDOWN METHODS', 'INFLUENTIAL OBSERVATIONS', 'LEVERAGE POINTS', 'MASKING', 'PREDICTED RESIDUALS', 'ROBUST ESTIMATION', 'SWAMPING']"
"Paper_3356","APPROXIMATE INFERENCE IN Generalized_linear_mixed_model","2957","['LONGITUDINAL DATA', 'OVERDISPERSION', 'PENALIZED QUASI-LIKELIHOOD', 'SPATIAL AGGREGATION', 'VARIANCE COMPONENTS']"
"Paper_3365","A NONPARAMETRIC METHOD FOR DEALING WITH MISMEASURED COVARIATE DATA","169","['ERRORS IN VARIABLES', 'MISSING DATA', 'SURROGATE VARIABLES']"
"Paper_3368","THE robust INFERENCE FOR THE cox_PROPORTIONAL hazard model","1816","[]"
"Paper_3401","INFERENCE BASED ON SIMPLE RANK STEP SCORE STATISTICS FOR THE LOCATION model","7","[]"
"Paper_3407","On profile_likelihood","425","['least favorable submodel', 'likelihood ratio statistic', 'maximum likelihood', 'nuisance parameter', 'semiparametric model', 'standard error']"
"Paper_3413","Filtering via simulation: Auxiliary particle filters","1347","['filtering', 'Markov chain Monte Carlo', 'particle filter', 'sampling importance resampling', 'simulation', 'state space']"
"Paper_3419","maximum_likelihood algorithms for Generalized_linear_mixed_model","477","['importance sampling', 'Metropolis-hastings algorithm', 'Monte Carlo EM', 'Newton-Raphson algorithm', 'penalized quasi-likelihood', 'simulated maximum likelihood']"
"Paper_3429","ADJUSTING FOR DIFFERENTIAL RATES OF PROPHYLAXIS THERAPY FOR PCP IN HIGH_DOSE VERSUS LOW_DOSE AZT TREATMENT ARMS IN AN AIDS RANDOMIZED TRIAL","113","['AIDS', 'CAUSAL INFERENCE', 'COUNTERFACTUAL VARIABLES', 'DEPENDENT CENSORING', 'DIRECT EFFECTS', 'G-COMPUTATION ALGORITHM', 'G-ESTIMATION', 'INTERMEDIATE VARIABLES', 'NONRANDOM NONCOMPLIANCE', 'RANDOMIZED TRIALS', 'SEMIPARAMETRIC MODELS', 'SURROGATE MARKERS', 'SURVIVAL ANALYSIS', 'TIME-DEPENDENT COVARIATES']"
"Paper_3434","confidence_BANDS IN NONPARAMETRIC REGRESSION","127","['BIAS CORRECTION', 'BONFERRONI BANDS', 'CROSS-VALIDATION', 'KERNEL ESTIMATORS']"
"Paper_3437","LINEAR_model_selection BY cross_validation","1078","['BALANCED INCOMPLETE', 'CONSISTENCY', 'DATA SPLITTING', 'MODEL ASSESSMENT', 'MONTE CARLO', 'PREDICTION']"
"Paper_3502","Combining estimates in regression and classification","147","['bootstrap', 'cross-validation', 'model combination']"
"Paper_3518","cox_REGRESSION WITH INCOMPLETE COVARIATE MEASUREMENTS","186","['CASE-COHORT DESIGN', 'CENSORING', 'FAILURE TIME', 'MISSING DATA', 'PROPORTIONAL HAZARDS', 'SURVIVAL ANALYSIS']"
"Paper_3526","THE IMPORTANCE OF ASSESSING measurement_RELIABILITY IN MULTIVARIATE REGRESSION","22","['CORRECTION FOR ATTENUATION', 'ERRORS IN VARIABLES', 'LINEAR FUNCTIONAL RELATIONSHIPS', 'LINEAR STRUCTURAL RELATIONSHIPS', 'MULTICOLLINEARITY OF LATENT PREDICTORS', 'REGRESSION DIAGNOSTICS', 'RELIABILITY MATRIX', 'RELIABILITY STUDIES']"
"Paper_3533","APPROXIMATE QUASI_LIKELIHOOD_ESTIMATION IN model with SURROGATE PREDICTORS","199","[]"
"Paper_3552","BOOTSTRAPPING THE KAPLAN_MEIER_ESTIMATOR","106","[]"
